date,volume_google,score_twitter,volume_twitter
1440482400,75,-0.3182,1
1440486000,72,0,0
1440489600,65,0,0
1440493200,74,0.125668311937921,2
1440496800,70,0.184116159070793,2
1440500400,69,0.379580394476994,2
1440504000,67,0,0
1440507600,67,0.2023,1
1440511200,70,0.2416,2
1440514800,74,0.195303713118094,5
1440518400,73,-0.134823879675099,5
1440522000,71,0.138046510405867,5
1440525600,74,0.246963511383026,2
1440529200,73,0.270521375116573,6
1440532800,82,0.426671882613751,3
1440536400,93,0.094715992273558,1
1440540000,86,-0.278980994586727,3
1440543600,78,0,0
1440547200,88,0.121416834143151,2
1440550800,76,0.17761398749609,4
1440554400,71,-0.010210716703636,2
1440558000,71,0.257178548847805,2
1440561600,78,0,0
1440565200,66,0,0
1440568800,64,0.3612,1
1440572400,62,0.1655,1
1440576000,63,0.476413729716808,4
1440579600,58,0,0
1440583200,59,0,0
1440586800,60,0,0
1440590400,58,0.137486923059001,4
1440594000,59,0,0
1440597600,62,0,0
1440601200,64,0.3154,3
1440604800,64,0.129504649073425,4
1440608400,95,-0.040532403983057,3
1440612000,65,0.6369,1
1440615600,67,0.302530879200691,5
1440619200,78,0.176633323532111,5
1440622800,75,0,0
1440626400,83,0.24815,2
1440630000,70,0,0
1440633600,75,0,0
1440637200,70,0,0
1440640800,64,-0.012,2
1440644400,65,0.5267,1
1440648000,67,0.324205894948921,2
1440651600,61,0,0
1440655200,57,0.416727080250729,2
1440658800,58,0,0
1440662400,54,0.288187063498488,2
1440666000,54,0,0
1440669600,57,-0.109626630182297,2
1440673200,53,0.006695678113069,1
1440676800,52,0,0
1440680400,54,-0.193425,4
1440684000,54,-0.160808015977365,3
1440687600,57,0.037723364380658,7
1440691200,54,0.26496636027799,1
1440694800,59,0.381851428033377,3
1440698400,57,0.162123836058664,1
1440702000,62,0.093388635927369,9
1440705600,60,0.431538761196373,3
1440709200,69,0.246417476881093,1
1440712800,75,-0.4404,1
1440716400,76,0,0
1440720000,61,-0.225014481891359,2
1440723600,59,0.7783,1
1440727200,60,0.5562,1
1440730800,62,0,0
1440734400,63,0,0
1440738000,56,0,0
1440741600,55,0,0
1440745200,51,0,0
1440748800,56,0,0
1440752400,48,0,0
1440756000,48,0.3182,1
1440759600,46,0.253905636509394,2
1440763200,50,0,0
1440766800,46,0,0
1440770400,53,0.4926,1
1440774000,55,-0.1696,2
1440777600,54,0.592766666666667,3
1440781200,58,0.050049574121971,5
1440784800,55,0.6808,1
1440788400,57,-0.11925,3
1440792000,67,0.431,1
1440795600,70,0,0
1440799200,72,0.285083333333333,4
1440802800,69,0,0
1440806400,61,0,0
1440810000,58,0,0
1440813600,59,0,0
1440817200,72,-0.5759,1
1440820800,74,0,0
1440824400,72,0,0
1440828000,68,-0.5423,1
1440831600,66,0.4031,1
1440835200,66,-0.4003,1
1440838800,57,0,0
1440842400,59,0,0
1440846000,61,0,0
1440849600,63,0.092101475413732,1
1440853200,64,0.181329399449605,4
1440856800,62,0,0
1440860400,64,0.4588,1
1440864000,60,0.155133298845213,1
1440867600,70,0.296,1
1440871200,64,0.1202,2
1440874800,70,0.1453,3
1440878400,71,-0.253866666666667,3
1440882000,74,0.4939,1
1440885600,87,-0.294866666666667,3
1440889200,89,0,0
1440892800,82,0,0
1440896400,78,0,0
1440900000,74,0,0
1440903600,77,0.4926,1
1440907200,74,-0.5994,1
1440910800,71,0,0
1440914400,64,0,0
1440918000,67,0,0
1440921600,67,0,0
1440925200,65,0,0
1440928800,59,0,0
1440932400,82,0,0
1440936000,73,-0.25,1
1440939600,67,0.4404,1
1440943200,60,0,0
1440946800,66,0.7092,1
1440950400,66,0,0
1440954000,67,-0.204657617573588,2
1440957600,66,0.211999168175424,1
1440961200,66,0.223179140147339,4
1440964800,73,0.2635,3
1440968400,74,0.327638730516177,2
1440972000,83,0.316330676929039,2
1440975600,100,0.190816666666667,5
1440979200,88,0,0
1440982800,78,0,0
1440986400,77,0,0
1440990000,78,0.105735649016964,1
1440993600,77,0.097394824508868,1
1440997200,82,0,0
1441000800,72,0,0
1441004400,67,0,0
1441008000,61,0,0
1441011600,70,0,0
1441015200,57,0,0
1441018800,59,0.569180667150478,2
1441022400,63,0,0
1441026000,60,0,0
1441029600,59,0.142034687643252,4
1441033200,65,0.3866,2
1441036800,63,0.37654,5
1441040400,66,-0.1511,1
1441044000,71,-0.006220852325942,3
1441047600,69,0.237247832401639,4
1441051200,74,0.226988665107222,2
1441054800,74,0.193532745686739,3
1441058400,77,-0.3182,1
1441062000,90,0.052217312118068,2
1441065600,90,0,0
1441069200,76,0,0
1441072800,81,-0.3427,2
1441076400,81,0,0
1441080000,83,0,0
1441083600,81,0,0
1441087200,70,0,0
1441090800,72,0,0
1441094400,66,0,0
1441098000,60,0,0
1441101600,63,0,0
1441105200,71,0.296,1
1441108800,66,-0.207185630231852,2
1441112400,63,0,0
1441116000,65,0.01043361016426,3
1441119600,65,0.25,1
1441123200,69,0,0
1441126800,68,0.061067718771162,1
1441130400,70,-0.172553545990937,2
1441134000,73,0.214153061574665,5
1441137600,81,-0.070866666666667,3
1441141200,79,0.181718707877217,9
1441144800,79,0.092820723828914,7
1441148400,92,0.29475,3
1441152000,86,0,0
1441155600,83,0.185900507617311,4
1441159200,71,0.104463368533762,9
1441162800,76,-0.232025509539521,4
1441166400,73,0.119070658615397,3
1441170000,83,0,0
1441173600,77,0.221897633762412,3
1441177200,65,0,0
1441180800,66,0.069478936358426,1
1441184400,64,0,0
1441188000,63,0,0
1441191600,62,0.015638443133311,1
1441195200,58,0,0
1441198800,63,0.3818,1
1441202400,63,-0.088827826930853,7
1441206000,66,0.052036802625898,6
1441209600,65,-0.162148505853722,2
1441213200,70,-0.16946203714992,2
1441216800,73,0.18745,2
1441220400,75,0.2796701679933,5
