date,ethereum
2017-08-11 02:00:00,5744
2017-08-12 02:00:00,5275
2017-08-13 02:00:00,6012
2017-08-14 02:00:00,7819
2017-08-15 02:00:00,7317
2017-08-16 02:00:00,6869
2017-08-17 02:00:00,6894
2017-08-18 02:00:00,5845
2017-08-19 02:00:00,5049
2017-08-20 02:00:00,5316
2017-08-21 02:00:00,6881
2017-08-22 02:00:00,6585
2017-08-23 02:00:00,6507
2017-08-24 02:00:00,6302
2017-08-25 02:00:00,5707
2017-08-26 02:00:00,4521
2017-08-27 02:00:00,4667
2017-08-28 02:00:00,5670
2017-08-29 02:00:00,6964
2017-08-30 02:00:00,7311
2017-08-31 02:00:00,7334
2017-09-01 02:00:00,6903
2017-09-02 02:00:00,5675
2017-09-03 02:00:00,5857
2017-09-04 02:00:00,7302
2017-09-05 02:00:00,7473
2017-09-06 02:00:00,6227
2017-09-07 02:00:00,6203
2017-09-08 02:00:00,5360
2017-09-09 02:00:00,4100
2017-09-10 02:00:00,4240
2017-09-11 02:00:00,5318
2017-09-12 02:00:00,5651
2017-09-13 02:00:00,6421
2017-09-14 02:00:00,5547
2017-09-15 02:00:00,4940
2017-09-16 02:00:00,3743
2017-09-17 02:00:00,4050
2017-09-18 02:00:00,6403
2017-09-19 02:00:00,8264
2017-09-20 02:00:00,6059
2017-09-21 02:00:00,5201
2017-09-22 02:00:00,4907
2017-09-23 02:00:00,3543
2017-09-24 02:00:00,3507
2017-09-25 02:00:00,4459
2017-09-26 02:00:00,4500
2017-09-27 02:00:00,4362
2017-09-28 02:00:00,4073
2017-09-29 02:00:00,3727
2017-09-30 02:00:00,3000
2017-10-01 02:00:00,3199
2017-10-02 02:00:00,4037
2017-10-03 02:00:00,3930
2017-10-04 02:00:00,3886
2017-10-05 02:00:00,3946
2017-10-06 02:00:00,3681
2017-10-07 02:00:00,2981
2017-10-08 02:00:00,3338
2017-10-09 02:00:00,4283
2017-10-10 02:00:00,4239
2017-10-11 02:00:00,4305
2017-10-12 02:00:00,5182
2017-10-13 02:00:00,5499
2017-10-14 02:00:00,4163
2017-10-15 02:00:00,4317
2017-10-16 02:00:00,5785
2017-10-17 02:00:00,5866
2017-10-18 02:00:00,5106
2017-10-19 02:00:00,5071
2017-10-20 02:00:00,4986
2017-10-21 02:00:00,4472
2017-10-22 02:00:00,4396
2017-10-23 02:00:00,6092
2017-10-24 02:00:00,6012
2017-10-25 02:00:00,6001
2017-10-26 02:00:00,5334
2017-10-27 02:00:00,5179
2017-10-28 02:00:00,3737
2017-10-29 02:00:00,4950
2017-10-30 02:00:00,5892
2017-10-31 02:00:00,5770
2017-11-01 02:00:00,6518
2017-11-02 02:00:00,7543
2017-11-03 02:00:00,6491
2017-11-04 02:00:00,5175
2017-11-05 02:00:00,5407
2017-11-06 02:00:00,6706
2017-11-07 02:00:00,7106
2017-11-08 02:00:00,8177
