date,score_twitter,volume_gg,volume_twitter,volume_wiki
1492214400,-0.016971340141608,238,26,1703
1492300800,0.015874190426887,240,20,1922
1492387200,0.142089965092163,281,9,2340
1492473600,0.021275418623142,289,7,2832
1492560000,0.093347707651637,229,26,2651
1492646400,0.088901762570653,201,26,3030
1492732800,0.106301167813962,209,21,3466
1492819200,0.084049381135009,218,21,2123
1492905600,-0.029454193453488,242,20,2125
1492992000,-0.003748278258991,242,15,3573
1493078400,0.051830014501744,236,22,3480
1493164800,0.032342572226411,219,9,3686
1493251200,0.077255028506909,183,28,3566
1493337600,0.072211978425523,203,22,4526
1493424000,0.084925522980182,245,36,4036
1493510400,0.051641805204595,240,17,3947
1493596800,0.113837217806227,327,40,5616
1493683200,0.202961529303906,507,61,5316
1493769600,0.047163368888068,454,41,4817
1493856000,0.228396872520288,264,26,6461
1493942400,0.139158100060254,378,21,6316
1494028800,0.130179853736517,397,58,4339
1494115200,0.040631102506575,326,30,4490
1494201600,0.025322823039846,324,13,5487
1494288000,0.082622897902231,470,30,5672
1494374400,0.182279773466978,374,47,5626
1494460800,0.035355774974676,182,40,5274
1494547200,0.076587094868044,195,15,4852
1494633600,0.08484495699094,211,33,3819
1494720000,0.013338492882769,213,24,4047
1494806400,-0.025984366784777,176,31,5449
1494892800,0.016879994540712,171,11,4993
1494979200,0.100740994021209,164,28,4493
1495065600,0.088732644869198,144,30,4349
1495152000,0.123285118331891,146,24,6810
1495238400,0.109239544432765,170,28,5843
1495324800,0.077745846847894,155,29,6952
1495411200,0.148557611752219,145,35,15908
1495497600,0.089235165018143,196,65,13826
1495584000,0.109089569945582,330,32,15612
1495670400,0.112282104254811,133,17,16775
1495756800,0.152862864301374,195,46,11013
1495843200,0.135908780315792,364,48,8131
1495929600,0.185982266452689,280,49,7604
1496016000,0.080935007999851,384,33,9069
1496102400,0.123807850817091,373,29,12001
1496188800,0.140222585823471,283,48,12821
1496275200,0.129857894529267,388,75,12052
1496361600,0.07294116549247,317,52,9567
1496448000,0.086581700694493,345,45,7733
1496534400,0.176626447976918,513,45,8534
1496620800,0.110452156839822,513,36,11441
1496707200,0.176392479247099,447,46,14210
1496793600,0.133219477959239,372,46,14441
1496880000,0.071539417135981,396,50,11193
1496966400,0.081089450090925,472,31,10408
1497052800,0.000172366608144,536,29,11875
1497139200,0.078540147328559,671,47,15676
1497225600,0.140773734596659,606,58,21580
1497312000,0.143944986804487,520,78,20800
1497398400,0.101303479375777,560,84,16697
1497484800,0.148154216363406,716,63,13068
1497571200,0.084906993042574,792,66,10859
1497657600,0.181556456267747,1130,71,8752
1497744000,0.17462630411121,914,35,9426
1497830400,0.152048564210474,867,37,11816
1497916800,0.026046810665701,883,32,13426
1498003200,0.142640972901272,648,53,14208
1498089600,0.19964628555673,790,100,12626
1498176000,0.030541261188244,777,54,10490
1498262400,0.135264124599408,826,28,9018
1498348800,0.021508037203298,947,45,9095
1498435200,0.102622067472263,1260,62,12468
1498521600,0.074726655293964,1219,69,12809
1498608000,0.145930666779356,991,62,11551
1498694400,0.137590443107855,704,26,10121
1498780800,0.111344692747074,817,55,7735
1498867200,0.055685401628156,1106,45,6173
1498953600,0.160513050014616,953,28,6313
1499040000,0.048438210369204,803,24,7893
1499126400,0.077801609913646,688,24,7104
1499212800,0.17837042313215,588,27,7401
1499299200,0.082731059738954,758,20,7633
1499385600,0.152465077961511,749,25,7482
1499472000,0.105358727712509,781,27,6651
1499558400,0.016919581455044,733,34,6377
1499644800,0.039604466761116,766,44,9410
1499731200,0.055496633428564,751,36,9175
1499817600,0.028759169653377,798,73,8243
1499904000,0.137456240338152,627,65,6853
1499990400,0.097106045702499,507,53,6140
1500076800,0.056486717499329,719,31,5121
1500163200,0.051156034088984,1050,20,5711
1500249600,0.194309482939354,780,41,6847
