timestamp,average_block_utilization,block_gas_limit,block_mining_reward,block_size,blocks_per_day,difficulty,distinct_miners,fee_mining_reward,hashrate,market_cap,mining_revenue,mining_reward,new_accounts,total_ether_supply,total_gas_usage,transactions_per_day,score_twitter,volume_gg,volume_twitter,volume_wiki
1457827200,3.43065795256497,4712156.89760895,2.598484375E+022,1392.09776320864,5186,20146109767733.9,88,2.56417147768732E+019,1291076502128.97,1171135052.8125,316.899623141607,2.72761104647769E+022,1985,6.0656796875E+024,838358312,28127,0.098109693989009,227,33,2460
1457913600,3.97265342215076,4712237.54502741,2.558046875E+022,1501.31401722788,5108,20067574793182.7,87,2.77887085331348E+019,1246558725868.19,976275976.953126,265.087365219411,2.64357574585331E+022,2199,6.09208765625E+024,956222024,28528,0.07858086082391,335,37,2556
1458000000,3.20516172490831,4712416.37012878,2.995609375E+022,1317.72202709483,5979,17571339319739.4,103,2.4012965397747E+019,1295479530865.04,1022764919.9075,315.737271148877,3.12476067153977E+022,1907,6.12331125E+024,903071543,29273,0.086390771062165,416,22,2249
1458086400,3.14317212727952,4712423.25510374,3.018765625E+022,1316.42572614108,6025,17777934509143.4,105,2.38727859453998E+019,1322233879117.54,1009889111.42875,307.934368930369,3.15140290359454E+022,1631,6.15480140625E+024,892420435,27596,0.071823614164562,497,15,1925
1458172800,3.58802705082227,4712532.78674778,3.048453125E+022,1421.2222952976,6082,18035146360792.8,92,3.16680980212903E+019,1369126446532.87,871112535.11375,260.827669819161,3.20561993480213E+022,1701,6.1868259375E+024,1028386837,33531,0.078862797551641,444,34,1750
1458259200,3.36145966218521,4712422.2016102,2.98778125E+022,1403.06407245891,5962,18298931919949.4,94,2.74326886831826E+019,1354841058934.21,840952113.96875,248.466168639114,3.13146201886832E+022,1907,6.218113125E+024,944417594,31821,0.113308581489195,352,15,1728
1458345600,4.39679482663809,4712429.37652088,3.04871875E+022,1494.03962512331,6082,18652830777471.2,99,4.42853796415521E+019,1419687675840.86,825644920.759375,238.71076163248,3.21227228796415E+022,1272,6.2501915625E+024,1260165166,34779,-0.02274524155443,335,21,1453
1458432000,4.0740711676473,4712428.8765555,3.020140625E+022,1445.83573917372,6027,19422850921243.7,89,3.57288538516077E+019,1451318582726.27,787615278.820625,219.253517409667,3.16308851038516E+022,1537,6.28178671875E+024,1157109905,32447,-0.021279516003354,325,19,2129
1458518400,3.92954915492548,4712432.73023023,3.003546875E+022,1497.77460794127,5994,19269277120107.5,90,3.24623890737613E+019,1429138053074.64,937528227.444375,263.125532152543,3.14154311390738E+022,1545,6.3131696875E+024,1109953099,32511,0.080551358140316,286,9,2742
1458604800,3.92092565222743,4712422.88552133,3.0418125E+022,1514.46170317905,6071,19567770968685.6,106,2.61394891028328E+019,1466450428498.14,858769397.805,237.204498727458,3.17380144891028E+022,1199,6.3448815625E+024,1121742299,32890,-0.019747463130261,246,7,1990
