timestamp,blocks-size,avg-block-size,n-transactions-per-block,median-confirmation-time,hash-rate,difficulty,miners-revenue,transaction-fees,cost-per-transaction-percent,cost-per-transaction,n-unique-addresses,n-transactions,n-transactions-total,n-transactions-excluding-popular,n-transactions-excluding-chains-longer-than-100,output-volume,estimated-transaction-volume-usd,score_twitter,volume_gg,volume_twitter,volume_wiki
1489017600,105832.516983,0.991798216216216,2051.56756756757,13.2,3389935.41610334,460769358090,2399093.4,236.67178552,0.94124913538226,8.19049189144338,541481,303632,203549181,299497,204173,5699545.52327675,264212240.99959,0.089103353295785,688,44,15556
1489104000,105987.241113,0.991821346153846,1977.44871794872,10.0833333333333,3573175.16832514,460769358090,2329338.9,257.91797636,0.803847837185648,7.83087200528872,551014,308482,203857663,304333,206104,2751691.90466803,300514966.413672,0.102022874242472,703,93,19093
1489190400,106135.879995,0.997576389261745,1883.76510067114,15.675,3412840.38513106,460769358090,2359087.2,217.66771727,0.995369203823466,8.6917913888516,518975,280681,204138344,275869,199819,1651256.17430034,245097064.430269,0.050767991898903,1588,125,15958
1489276800,106284.702697,0.960146464516129,1426.51612903226,14.375,3550270.19929742,460769358090,2509817.7,190.62879952,1.22006776036978,11.786470661174,422478,221110,204359454,217002,159553,1201859.26650813,213603425.362402,-0.006080101373061,1419,88,14093
1489363200,106427.219182,0.982872310344828,1883.30344827586,17.175,3321220.50902016,460769358090,2417768.25,220.75092528,0.822339361926969,9.19165614074374,516184,273079,204632533,267429,177078,2089770.02013271,305232654.96819,0.171260217084766,1433,100,16417
1489449600,106577.361282,0.962449358974359,1989.71153846154,15.9,3573175.16832514,460769358090,2657111.6,256.53171308,0.806628081047708,8.8596803234962,561534,310395,204942928,305173,209618,2703063.85043817,340925457.298697,0.149430836743322,1369,121,19528
1489536000,106717.086949,0.983983570422535,2059.39436619718,13.7833333333333,3252505.60193699,460769358090,2446625.6,236.25501962,0.788573538835574,8.66032103211495,526478,292434,205235362,287668,196607,2274799.1552319,321158673.983045,0.077244885673035,1304,130,17689
1489622400,106868.290749,0.988260130718954,2137.47712418301,14.25,3504460.26124196,460769358090,2470016,264.55158129,0.5143125376157,7.83923366416673,594405,327034,205562396,321647,195664,3316344.04046344,498470434.730628,0.082896877611221,1308,143,16895
1489708800,107021.605249,0.995548701298701,1897.37662337662,9.9,3641704.83720129,469886043903.468,2279486.3,244.58901754,0.454939809531778,8.08669317513865,532933,292196,205854592,287239,187317,3122262.97578238,519387257.280188,0.148501658323542,1424,102,15663
1489795200,107169.506521,0.942046318471338,1678.53503184713,10.4333333333333,3712647.13922469,475705205061,1983179.8,217.05770532,0.572618794756355,7.79754488891472,505650,263530,206118122,258496,183501,2599334.28131555,358857764.256591,0.127033869319937,1524,137,15288
