date,score_twitter,volume_twitter,volume_google
1519034400,-0.177409137339535,2,8
1519038000,0.092002285455871,1,7
1519041600,0.6908,1,7
1519045200,-0.214329048667681,4,8
1519048800,0.317819866915791,4,8
1519052400,0.02315,2,8
1519056000,0.49265,2,7
1519059600,0.217400889297444,3,7
1519063200,0.260437511597202,6,7
1519066800,0.140895854934311,5,7
1519070400,0.01945,3,6
1519074000,0.593475,3,7
1519077600,0.2177,1,7
1519081200,0.220125310652776,6,7
1519084800,0,0,7
1519088400,-0.3297,1,8
1519092000,0.7033,1,7
1519095600,0.2382,1,8
1519099200,0,0,7
1519102800,0.25,1,7
1519106400,0,0,8
1519110000,0.416427057335257,5,8
1519113600,0,0,8
1519117200,0.4588,1,8
1519120800,0.0038,1,7
1519124400,0.226836035370247,1,7
1519128000,0,0,8
1519131600,0,0,8
1519135200,-0.6633,1,8
1519138800,0.459261159440742,2,8
1519142400,-0.16735,2,9
1519146000,-0.251852083333333,10,8
1519149600,0.010315296350543,7,8
1519153200,0.29375,2,7
1519156800,0.058577478736265,3,7
1519160400,0.7256,2,7
1519164000,-0.085280900894248,5,7
1519167600,0.0516,1,7
1519171200,0,0,7
1519174800,-0.1027,1,7
1519178400,0.443425,5,7
1519182000,0.068833333333333,4,8
1519185600,-0.107975,8,7
1519189200,-0.140677777777778,5,8
1519192800,0.241741995623108,1,8
1519196400,0.189445972394694,2,8
1519200000,0,0,8
1519203600,0.298060163436912,5,8
1519207200,-0.478333333333333,3,7
1519210800,0,0,7
1519214400,0.351571243684388,4,7
1519218000,-0.00695,2,8
1519221600,0.5008027267424,4,8
1519225200,0.309906639850801,5,8
1519228800,0,0,7
1519232400,0.170825,3,7
1519236000,0.082313355525969,9,6
1519239600,0.198618709197842,5,6
1519243200,-0.178996975655435,6,6
1519246800,0.061899580134189,2,6
1519250400,0.395288556795978,3,6
1519254000,0.0772,1,6
1519257600,0.341267076934665,2,6
1519261200,0.047566666666667,4,6
1519264800,0.6249,1,6
1519268400,0,0,6
1519272000,0.246,2,6
1519275600,-0.1154,1,7
1519279200,0.5267,1,7
1519282800,0.238328033289302,2,7
1519286400,0,0,7
1519290000,0,0,7
1519293600,0,0,6
1519297200,0.281044532826216,3,7
1519300800,-0.070587588501169,3,8
1519304400,0,0,8
1519308000,0.337925741440785,6,9
1519311600,-0.10101249505268,4,8
1519315200,0.007097849416701,2,9
1519318800,0.6808,1,8
1519322400,0.230452176210302,3,8
